Area Code,Area,Months Code,Months,Element Code,Element,Unit,Y2019
260,Svalbard and Jan Mayen Islands,7020,Meteorological year,7271,Temperature change,°C,2.903
173,Poland,7020,Meteorological year,7271,Temperature change,°C,2.662
57,Belarus,7020,Meteorological year,7271,Temperature change,°C,2.657
126,Lithuania,7020,Meteorological year,7271,Temperature change,°C,2.627
167,Czechia,7020,Meteorological year,7271,Temperature change,°C,2.552
199,Slovakia,7020,Meteorological year,7271,Temperature change,°C,2.458
119,Latvia,7020,Meteorological year,7271,Temperature change,°C,2.448
97,Hungary,7020,Meteorological year,7271,Temperature change,°C,2.406
198,Slovenia,7020,Meteorological year,7271,Temperature change,°C,2.375
230,Ukraine,7020,Meteorological year,7271,Temperature change,°C,2.368
11,Austria,7020,Meteorological year,7271,Temperature change,°C,2.365
146,Republic of Moldova,7020,Meteorological year,7271,Temperature change,°C,2.348
79,Germany,7020,Meteorological year,7271,Temperature change,°C,2.331
147,Namibia,7020,Meteorological year,7271,Temperature change,°C,2.252
13,Bahrain,7020,Meteorological year,7271,Temperature change,°C,2.238
183,Romania,7020,Meteorological year,7271,Temperature change,°C,2.233
5401,Eastern Europe,7020,Meteorological year,7271,Temperature change,°C,2.221
63,Estonia,7020,Meteorological year,7271,Temperature change,°C,2.213
185,Russian Federation,7020,Meteorological year,7271,Temperature change,°C,2.2
256,Luxembourg,7020,Meteorological year,7271,Temperature change,°C,2.177
54,Denmark,7020,Meteorological year,7271,Temperature change,°C,2.163
98,Croatia,7020,Meteorological year,7271,Temperature change,°C,2.143
150,Netherlands,7020,Meteorological year,7271,Temperature change,°C,2.142
5404,Western Europe,7020,Meteorological year,7271,Temperature change,°C,2.137
272,Serbia,7020,Meteorological year,7271,Temperature change,°C,2.123
27,Bulgaria,7020,Meteorological year,7271,Temperature change,°C,2.122
120,Lao People's Democratic Republic,7020,Meteorological year,7271,Temperature change,°C,2.116
5400,Europe,7020,Meteorological year,7271,Temperature change,°C,2.116
